company,product_name,link_href,product_category,price
hillyard,"Hillyard, Arsenal® Carpet Ph Rinse, Extraction Rinse, Arsenal® One Dispenser 2.5 Liter Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Arsenal%C2%AE-Carpet-Ph-Rinse%2C-Extraction-Rinse/p/HIL0083525,Cleaner,207
hillyard,"Hillyard,  Suprox® Concentrate Multi-Purpose Cleaner,  1 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/General-Cleaners/Hillyard%2C-Suprox%C2%AE-Concentrate-Multi-Purpose-Cleaner/p/HIL0011006,"Cleaner, Protectant",184
hillyard,"Hillyard,  Deep Action® Carpet Pre-Spray,  1 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Deep-Action%C2%AE-Carpet-Pre-Spray/p/HIL0091806,Spot remover,115
hillyard,"Hillyard, Quick And Clean® Spray Clean Hd Multi-Purpose Cleaner,  32 Fl Oz Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/General-Cleaners/Hillyard%2C-Quick-And-Clean%C2%AE-Spray-Clean-Hd-Multi-Purpose-Cleaner/p/HIL0101804,"Cleaner, Protectant, Spot remover",139
hillyard,"Hillyard,  Hd Extraction Cleaner,  1 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Hd-Extraction-Cleaner/p/HIL0091406,Cleaner,272
hillyard,"Hillyard, Arsenal® Clean Action® Ii Extraction Cleaner, Arsenal® One Dispenser 2.5 Liter Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Arsenal%C2%AE-Clean-Action%C2%AE-Ii-Extraction-Cleaner/p/HIL0080725,Cleaner,149
hillyard,"Hillyard,  Citrus-Scrub® Multi-Purpose Cleaner,  1 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/General-Cleaners/Hillyard%2C-Citrus-Scrub%C2%AE-Multi-Purpose-Cleaner/p/HIL0014306,"Cleaner, Protectant",149
hillyard,"Hillyard,  Carpet Pre-Spray,  1 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Carpet-Pre-Spray/p/HIL0096506,Cleaner,215
hillyard,"Hillyard, Quick And Clean® Glass And Plastic Cleaner,  32 Fl Oz Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/General-Cleaners/Hillyard%2C-Quick-And-Clean%C2%AE-Glass-And-Plastic-Cleaner/p/HIL0100204,"Cleaner, Protectant",148
hillyard,"Hillyard,  Liquid Gum-Go® Carpet Spotter,  32 Fl Oz Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Liquid-Gum-Go%C2%AE-Carpet-Spotter/p/HIL0091204,Protectant,204
hillyard,"Hillyard, Cleaning Companion® Carpet Pre-Spray,  0.5 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Cleaning-Companion%C2%AE-Carpet-Pre-Spray/p/HIL0070022,Cleaner,80
hillyard,"Hillyard,  Double Down® Carpet Spotter,  32 Fl Oz Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Double-Down%C2%AE-Carpet-Spotter/p/HIL0093285,Cleaner,131
hillyard,"Hillyard, Quick And Clean® Gel Graffiti Remover,  15 Oz Can",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Industrial-Cleaners/Hillyard%2C-Quick-And-Clean%C2%AE-Gel-Graffiti-Remover%2C-15-Oz-Can/p/HIL0105055,"Cleaner, Protectant, Spot remover",141
hillyard,"Hillyard,  Extraction Ph Rinse,  1 Gal Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Extraction-Ph-Rinse/p/HIL0093006,Cleaner,199
hillyard,"Hillyard, Arsenal® Bonnet Cleaner Carpet Pre-Spray, Arsenal® One Dispenser 2.5 Liter Bottle",https://www.hillyard.com/hillyardb2b/en/USD/All-Products/Chemicals-%26-Dispensing/Chemicals/Carpet-Cleaners/Hillyard%2C-Arsenal%C2%AE-Bonnet-Cleaner-Carpet-Pre-Spray/p/HIL0081325,Cleaner,176
